id;dienstnaam;dienstprijs;aantal_verkocht
;opschoning laptop;125.00;
;Opschoning pc;125.00;
;Onderzoekskosten;45.00;
;Arbeid per uur (Particulier);55.00;
;Arbeid per uur (Zakelijk);66.55;
;Norton Security 1 Jaar 1 PC ;45.00;
;Microsoft office 2019 (1);180.00;
;Microsoft office 2019;140.00;
;Windows 10 installatie;140.00;
;Voorrijkosten;22.50;
;Bestanden overzetten;55.00;
;Hosting & Domein registratie 1 jaar;121.00;
;SSL Certificaat 1 jaar;109.45;
;Losse domeinnaam (inc. doorverwijzing);22.50;
;Losse domeinnaam;12.00;
;Gereed klaar maken;55.00;
;Uitlezen en terugzetten bestanden;70.00;
;Iphone x achterkant;220.00;
;Installatie op locatie;110.00;
;Iphone x achterkant;109.45;
;bestanden overzetten 1;70.00;
;aansluiten en configureren deco system;210.00;
;Printer nakijken;27.25;
;Printer op locatie installeren;40.00;
;Domeinnaamregistratie .nl;15.00;
;Domeinnaamregistratie .com;25.00;
;Microsoft Office 2019 (Black Friday actie);150.00;
;Samsung Tab A 2019;199.00;
;Upgrade Hostingpakket naar onbeperkt opslag ;55.00;
;3 jaar garantie;0.00;
;cindy;230.45;
;Sony KD-55AG9 Oled;1965.00;
;Norton Sercurity 2 pc 1 jaar;75.00;
;Norton Sercurity 3 pc 1 jaar;75.00;
;Aced Virus scan NOD 32 2 jaar;75.00;
;diensten en producten;383.10;
;Pc reiniging;20.00;
;opstart probleem opgelost;25.00;
;Koppeling server exchange-online 1 jaar;33.88;
;Upgrade onbeperkt data verkeer 1 jaar;55.00;
;Hosting en Domeinregistratie 1 jaar (112-rijn;200.00;
;internet gebruik 1 jaar (2020);220.00;
;Installatie & Configuratie ;55.00;
;Software herstellen;35.00;
;upgrade Hosting  jaar 2019/2020;110.00;
;Windows leeghalen/opnieuw instellen;125.00;
;Draadloze muis;29.95;
;Installatie en configuratie op locatie;22.50;
;Moederbord + Schermreparatie;230.00;
;werkzaamheden mailbox (2 uur);133.10;
;mailbox pellikaanfruit.nl;55.00;
;;0.00;
;ICT ondersteuning personeel (januari 2020 en ;1464.10;
